Bairro;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL;;;;
Casa Verde;0,0;0,4;0,0;0,0;0,0;0,1;0,0;1,9;1,8;0,0;0,1;0,0;0,0;0,0;0,0;0,0;6,1;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,8;;;;
Freguesia do O;0,0;0,3;0,0;0,0;0,0;0,0;0,0;1,6;1,5;0,0;0,0;0,0;0,2;0,0;0,0;0,0;6,4;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,3;;;;
Jaçana / Tremembe;0,0;0,1;0,0;0,0;0,0;0,3;0,2;10,9;4,3;0,0;1,4;0,0;0,0;0,0;0,4;0,2;4,0;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;23,0;;;;
Vila Maria / Guilherme;0,0;0,4;0,0;0,0;0,0;0,1;0,1;7,5;3,7;0,0;0,3;0,0;0,0;0,0;0,4;2,7;5,9;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,6;;;;
Pirituba / Jaragua;0,0;0,2;0,0;0,0;0,0;0,0;0,0;1,6;1,8;0,0;0,0;0,0;1,7;0,0;0,2;0,0;6,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,9;;;;
Perus;0,0;0,2;0,0;0,0;0,0;0,0;0,0;1,3;2,8;0,0;0,0;0,0;0,7;0,0;0,3;0,0;5,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,5;;;;
Santana;0,0;0,4;0,0;0,0;0,0;0,1;0,1;2,7;2,3;0,0;0,6;0,0;0,0;0,0;0,1;0,6;5,3;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,7;;;;
Aricanduva / Vila Formosa;0,0;0,2;0,0;0,0;0,0;0,0;0,2;8,9;0,9;0,0;0,0;0,0;0,0;0,0;0,5;1,6;9,4;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,0;;;;
Ermelino Matarazzo;0,0;0,4;0,0;0,0;0,0;0,3;0,6;18,8;2,2;0,0;0,1;0,0;0,0;0,0;0,2;1,2;12,7;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,8;;;;
Guaianazes;0,0;0,1;0,0;0,0;0,0;0,1;0,2;9,3;1,2;0,0;0,2;0,0;0,0;0,0;0,4;0,2;6,2;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,2;;;;
Itaquera;0,0;0,3;0,0;0,0;0,0;0,2;0,2;11,0;1,2;0,0;0,3;0,0;0,0;0,0;1,6;0,8;8,5;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,3;;;;
Itaim Paulista;0,0;0,1;0,0;0,0;0,0;0,3;0,7;8,8;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,1;7,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0;;;;
