Bairro,Latitude,Longitude
Freguesia do O,-23.5007, -46.7055
Tremembe,-23.4543, -46.6251
Vila Maria / Guilherme,-23.5165, -46.5733
Pirituba,-23.4611, -46.7242
Perus,-23.3962, -46.7532
Santana/Tucuruvi,-23.4887, -46.6206
Vila Formosa,-23.5704, -46.5522
Ermelino Matarazzo,-23,4697, -46.472
Guaianazes,-23.541273, -46.405739
Itaquera,-23.5388, -46.4513
Itaim Paulista,-23.4921, -46.3837
Mooca,-23.5603, -46.5996
Sao Miguel Paulista,-23.5012, -46.4488
Penha,-23.5282, -46.5379
Sao Mateus,-23.6028, -46.4826
Cidade Tiradentes,-23.6262, -46.4237
Vila Prudente,-23.5921, -46.5812
Sapopemba,-23.5856, -46.5333
Consolacao,-23.5526, -46.6557
Se,-23.5505, -46.6333
Butanta,-23.5701, -46.7176
Lapa,-23.5164, -46.6964
Pinheiros,-23.5663, -46.6866
M Boi Mirim,-23.6574, -46.7652
Campo Limpo,-23.6327, -46.7591
Capela do Socorro,-23.6667, -46.7058
Ipiranga,-23.5897, -46.6067
Jabaquara,-23.6486, -46.6483
Santo Amaro,-23.6478, -46.708
Vila Mariana,-23.5859, -46.6343
